,ServiceName,Description,Category
114,Lower Body LHR,"A safe and effective laser hair removal treatment for the lower body, including areas such as the lower legs, thighs, and bikini line, using advanced Soprano Titanium technology. This virtually painless procedure provides long-lasting smoothness with minimal discomfort, suitable for all skin types.",Laser
115,Half Face LHR,"A convenient and effective laser hair removal treatment for the half body, targeting areas like the upper or lower body, using advanced Soprano Titanium technology. This virtually painless procedure provides smooth, long-lasting results with minimal discomfort, suitable for all skin types.",Laser
116,Bikini LHR,"A precise and virtually painless laser hair removal treatment for the bikini area, using advanced Soprano Titanium technology. This treatment offers long-lasting smoothness, reduces ingrown hairs, and is safe for sensitive skin, providing a comfortable experience with minimal downtime.",Laser
127,primelase LHR - Full Body Male,"An advanced, fast, and virtually painless laser hair removal treatment for males using Primelase technology. This highly effective procedure targets unwanted hair with precision, offering long-lasting smoothness with minimal discomfort, and is suitable for all skin types.",Laser
128,Pimelase LHR- Full Body Female,"An advanced, fast, and virtually painless laser hair removal treatment for females using Primelase technology. This highly effective procedure targets unwanted hair with precision, providing long-lasting smooth skin with minimal discomfort, suitable for all skin types.",Laser
129,Primelase LHR- Full Face,"A comprehensive and effective laser hair removal treatment for the entire face using advanced Primelase technology. This procedure provides smooth, hair-free skin with minimal discomfort, targeting all areas of the face for long-lasting results, and is suitable for all skin types.",Laser
130,Primelase LHR- Half Face,"A precise and effective laser hair removal treatment for half of the face, using advanced Primelase technology. This treatment targets unwanted hair on areas like the upper lip, chin, or cheeks, providing smooth, hair-free skin with minimal discomfort and long-lasting results, suitable for all skin types.",Laser
131,Primelase LHR- Beard Shaping,"A precise and effective laser treatment for shaping and defining the beard line using advanced Primelase technology. This service provides a clean, sharp look by targeting unwanted hair around the beard area, offering long-lasting results with minimal discomfort, suitable for all skin types.",Laser
132,Primelase LHR- Lower Body,"A highly effective and fast laser hair removal treatment for the lower body, including areas like the lower legs, thighs, and bikini line, using advanced Primelase technology. This procedure offers smooth, hair-free skin with long-lasting results and minimal discomfort, suitable for all skin types.",Laser
133,Primelase LHR- Upper Body,"A fast and effective laser hair removal treatment for the upper body, including areas like the chest, arms, shoulders, and underarms, using advanced Primelase technology. This procedure provides smooth, hair-free skin with minimal discomfort and long-lasting results, suitable for all skin types.",Laser
134,Primelase LHR- Front,"A precise and effective laser hair removal treatment for the front body, including areas such as the chest and stomach, using advanced Primelase technology. This procedure ensures smooth, hair-free skin with long-lasting results and minimal discomfort, suitable for all skin types.",Laser
135,Primelase LHR- Back,"A fast and efficient laser hair removal treatment for the back, using advanced Primelase technology. This procedure targets unwanted hair, leaving the skin smooth, hair-free, and with long-lasting results, offering minimal discomfort and suitable for all skin types.",Laser
136,Primelase LHR- Full Arm,"A highly effective and fast laser hair removal treatment for the full arms, using advanced Primelase technology. This procedure offers smooth, hair-free skin with long-lasting results and minimal discomfort, suitable for all skin types.",Laser
137,Primelase LHR- Full Legs,"A fast and efficient laser hair removal treatment for the full legs, using advanced Primelase technology. This procedure ensures smooth, hair-free skin with long-lasting results and minimal discomfort, suitable for all skin types.",Laser
138,Primelase LHR - Under Arm,"An effective and virtually painless laser hair removal treatment for the underarms using advanced Primelase technology. This procedure provides smooth, hair-free skin with long-lasting results and minimal discomfort, suitable for all skin types.",Laser
139,Primelase LHR- Upper Lip,"A precise and effective laser hair removal treatment for the upper lip using advanced Primelase technology. This procedure offers smooth, hair-free skin with long-lasting results and minimal discomfort, suitable for all skin types.",Laser
140,Carbon Facial - Tribeam,"A deep-cleansing and rejuvenating facial using Tribeam technology combined with activated carbon. This treatment helps to exfoliate the skin, reduce pores, and improve skin texture, leaving the face bright, smooth, and refreshed. It's ideal for those looking to target acne, pigmentation, and skin dullness.",Laser
141,Laser Toning- Tribeam,"A non-invasive, skin-refreshing treatment using Tribeam technology to improve skin tone and texture. Laser Toning helps reduce pigmentation, fine lines, and redness, promoting a smoother and more even complexion with minimal discomfort and downtime.",Laser
142,4D Laser - Tribeam,"An advanced, multi-dimensional laser treatment using Tribeam technology that targets multiple skin concerns in one session. The 4D Laser helps to tighten, lift, rejuvenate, and smooth the skin, reducing fine lines, wrinkles, and sagging for a more youthful appearance. It enhances overall skin texture and tone with minimal discomfort and no downtime.",Laser
143,Photo Facial - Advance,"A cutting-edge treatment that uses intense pulsed light (IPL) to target skin imperfections like pigmentation, redness, and sun damage. The Advanced Photofacial stimulates collagen production, leaving your skin with a smoother, brighter, and more even complexion.",Laser
144,Photo Facial- Pro,"An enhanced version of the traditional photofacial, using advanced technology to treat deeper skin concerns like sun spots, age spots, and uneven pigmentation. The Pro Photofacial uses intense pulsed light (IPL) to stimulate collagen production, leaving the skin brighter, smoother, and rejuvenated with minimal discomfort and no downtime.",Laser
147,Pink Glow,"A rejuvenating facial treatment designed to give your skin a radiant, glowing, and even-toned complexion. The Pink Glow treatment helps brighten dull skin, reduce pigmentation, and enhance your natural skin tone, leaving you with a fresh, youthful, and glowing look.",Laser
148,Derma pen,"An advanced micro-needling treatment that uses a Derma Pen to stimulate collagen production and improve skin texture. Ideal for reducing fine lines, acne scars, and pigmentation, this procedure helps to rejuvenate and tighten the skin, giving it a smoother and more youthful appearance.",Laser
